Nombre del Barrio o Colonia,Vivendas con 0 NBI,Vivendas con 1 NBI,Vivendas con 2 NBI,Vivendas con 3 NBI,Vivendas con 4+ NBI,total,rank,avrg
COL. LOS PINOS BOLSA MARITANA,52,25,10,0,0,35,45,1.285714286
COL. RES. LARA NORTE,48,5,0,2,5,12,31,2.583333333
RES. VILLA REAL,17,12,2,0,0,14,16,1.142857143
COL. ALTOS DE LOS LAURELES,137,78,22,0,0,100,122,1.22
COL.LOS ALPES,143,51,8,5,7,71,110,1.549295775
RES. TONCONTIN,113,31,6,5,6,48,82,1.708333333
COL. VILLA LOS LAURELES ( FLOR DEL,356,198,39,9,1,247,307,1.24291498
BO. SIPILE,475,238,47,10,7,302,390,1.291390728
COL. BRISAS DEL NORTE,256,119,16,11,5,151,204,1.350993377
COL. ALTOS DE LA PRIMAVERA,60,28,9,1,0,38,49,1.289473684
COL. LOS ALMENDROS,28,19,3,0,0,22,25,1.136363636
COL. ZONA DE LA CLINICA PERIFERICA DEL IHSS NO.2,25,11,3,1,0,15,20,1.333333333
BO. LA LOMA II ETAPA O CONDOMINIOS CIUDAD MILANO,8,5,1,0,0,6,7,1.166666667
COL.DE LA VEGA,3,3,0,0,0,3,3,1
RES. EL PORTAL DE LAS FLORES N°3,1,1,0,0,0,1,1,1
BO. LOS PROFESORES,70,37,9,1,0,47,58,1.234042553
COL. LA INDEPENDENCIA,611,331,49,15,7,402,502,1.248756219
COL. SAN CARLOS,28,19,1,1,0,21,24,1.142857143
COL. TRES DE MAYO,1277,659,128,32,4,823,1027,1.247873633
COL. SAN JOSE,69,34,9,1,0,44,55,1.25
COL. ESTADOS UNIDOS,289,91,33,10,5,139,207,1.489208633
COL.NUEVA EDEN,104,29,1,5,6,41,70,1.707317073
COL. ALTOS DE LOARQUE,372,180,42,6,2,230,290,1.260869565
"COL. RES, LOS ZORZALES",15,11,1,0,0,12,13,1.083333333
COL. 21 DE FEBRERO,921,477,90,6,12,585,723,1.235897436
RES. PRADO VERDE,16,7,1,1,0,9,12,1.333333333
COL. OBRERA,482,213,48,15,2,278,362,1.302158273
BO. VIERA,122,45,13,3,2,63,88,1.396825397
RES. ALTOS DE MIRAFLORES SUR I ETAPA,67,25,5,3,1,34,48,1.411764706
COL.EL RETIRO,291,129,31,5,3,168,218,1.297619048
BO. SAN JUAN DE DIOS,62,30,4,3,0,37,47,1.27027027
COL. LAS MERCEDES,773,403,80,12,0,495,599,1.21010101
COL. NUEVA SANTA ROSA,274,134,24,7,1,166,207,1.246987952
BO. MIRAMESI,102,16,6,5,5,32,63,1.96875
COL. IZAGUIRRE,518,260,50,10,1,321,394,1.22741433
COL. EL SOCORRO,19,11,2,0,0,13,15,1.153846154
COL. JARDINES DE SAN JOSE,57,29,5,0,1,35,43,1.228571429
BO. LAS CRUCITAS,643,337,64,7,1,409,490,1.19804401
COL.INDEPENDIENTE (ANTES EL PORTILL,34,16,3,1,0,20,25,1.25
COL.VILLAS COLONIALES ALTOS DE MIRA,30,23,1,0,0,24,25,1.041666667
BO. LA LOMA,10,1,1,1,0,3,6,2
COL.  HAMBURGO,7,6,0,0,0,6,6,1
COL. ALTOS DEL PEDREGALITO,98,52,11,0,0,63,74,1.174603175
BO.JARDINES DE CASAMATA,31,23,1,0,0,24,25,1.041666667
COL. JUAN LINDO,64,28,7,1,0,36,45,1.25
COL. SAN EUGENIO,26,10,4,0,0,14,18,1.285714286
COL.LOS ALPES B/16,14,3,3,0,0,6,9,1.5
COL. LOS CENTENOS,149,68,11,2,2,83,104,1.253012048
COL. NUEVAS DELICIAS,52,31,4,0,0,35,39,1.114285714
COL. LA PEÑA,971,453,77,16,7,553,683,1.235081374
URBANIZACION AGUA DULCE,78,17,4,2,4,27,47,1.740740741
COL. OSCAR A. FLORES,396,175,34,9,1,219,274,1.251141553
COL. EL PORVENIR,302,144,22,5,2,173,211,1.219653179
COL. RUBEN DARIO,85,14,11,5,0,30,51,1.7
COL.SANTA CECILIA,394,174,33,5,3,215,267,1.241860465
COL. SMITH NO. 2,92,31,9,2,1,43,59,1.372093023
COL.EL CONTADOR,62,12,4,4,1,21,36,1.714285714
COL. GUILLEN,690,188,70,25,5,288,423,1.46875
COL. COFRADIA,51,25,5,0,0,30,35,1.166666667
COL. RODRIGUEZ,647,337,47,4,1,389,447,1.149100257
COL. SANTA BARBARA,38,7,1,0,3,11,21,1.909090909
COL. VILLA SAN ROQUE,4,3,0,0,0,3,3,1
COL. LA TRINIDAD,116,60,7,0,1,68,78,1.147058824
COL. EL ROSARIO,404,188,27,6,1,222,264,1.189189189
"RES. LOS HIDALGOS CICUITO I, II Y III",221,49,6,6,11,72,123,1.708333333
BO. PUNTA CALIENTE,41,24,2,0,0,26,28,1.076923077
COL.LOS ALPES #2,101,32,10,3,0,45,61,1.355555556
COL. MODELO,145,29,8,5,5,47,80,1.70212766
BO. LEMPIRA,262,137,12,1,2,152,172,1.131578947
BO. EL RINCON,135,53,8,2,2,65,83,1.276923077
COL. SAN FRANCISCO,774,327,50,14,4,395,485,1.227848101
COL. MARICHAL,49,14,6,1,0,21,29,1.380952381
BO. SAN JORGE,33,10,1,1,1,13,19,1.461538462
COL. LA PRADERA,559,213,31,9,9,262,338,1.290076336
RES. VENECIA I ETAPA,162,38,8,8,3,57,90,1.578947368
COL. DIVANNA,369,160,23,6,1,190,228,1.2
COL. BRISAS DE OLANCHO,411,138,27,11,4,180,241,1.338888889
COL. 30 DE NOVIEMBRE,345,124,24,8,2,158,204,1.291139241
COL. CANADA,309,139,23,2,0,164,191,1.164634146
COL. BRISAS DEL VALLE,249,112,21,0,0,133,154,1.157894737
COL. LOS SORZALES NO.1,187,82,10,4,0,96,114,1.1875
COL. LA ROSA,498,227,30,1,4,262,306,1.167938931
COL. LOMA LINDA NORTE,281,34,17,18,5,74,142,1.918918919
COL. ALTOS DE LA CABAÑA,121,33,5,1,5,44,66,1.5
URBANIZACION LA CUMBRE,95,24,8,0,3,35,52,1.485714286
BO.  SIMON BOLIVAR,66,25,1,1,2,29,38,1.310344828
COL. ALTOS DE LA SOSA,10,4,1,0,0,5,6,1.2
COL. CAMPAÑA ARRIBA,6,4,0,0,0,4,4,1
UNIVERSIDAD ESTE,8,1,0,1,0,2,4,2
COL. SEMPE,162,54,14,2,1,71,92,1.295774648
COL. SABANAGRANDE,119,37,12,2,0,51,67,1.31372549
BO. SAN PABLO,629,239,46,4,5,294,363,1.234693878
BO. SAN ISIDRO,50,19,5,0,0,24,29,1.208333333
COL. IBERIA,494,192,29,6,4,231,284,1.229437229
COL. LAS PALMAS,932,413,53,5,4,475,550,1.157894737
RES. ALTOS DE MIRAFLORES SUR III ETAPA,101,39,8,1,0,48,58,1.208333333
COL. SAN LUIS,85,35,5,0,1,41,49,1.195121951
COL. LA ESPERANZA,533,204,36,8,1,249,304,1.220883534
BO.  EL CHILE,471,210,30,1,1,242,277,1.144628099
COL. LUIS ANDRES ZUNIGA II ETAPA,325,115,17,5,4,141,180,1.276595745
RES. VILLA DE LAS HADAS,29,7,1,2,0,10,15,1.5
AVE. LA PAZ,9,3,1,0,0,4,5,1.25
COL.LOMA SUR,24,9,0,0,1,10,13,1.3
COL. SUYAPA,412,210,15,1,0,226,243,1.075221239
